date,state,hospitalized,deathIncrease,totalTestResultsIncrease,positiveIncrease
2020-01-23,OH,,0.0,,
2020-01-23,OK,,0.0,,
2020-01-23,OR,,0.0,,
2020-01-23,PA,,0.0,,
2020-01-23,PR,,0.0,,
2020-01-23,PW,,0.0,,
2020-01-23,RI,,0.0,,
2020-01-23,RMI,,0.0,,
2020-01-23,SC,,0.0,,
2020-01-23,SD,,0.0,,
2020-01-23,TN,,0.0,,
2020-01-23,TX,,0.0,,
2020-01-23,UT,,0.0,,
2020-01-23,VA,,0.0,,
2020-01-23,VI,,0.0,,
2020-01-23,VT,,0.0,,
2020-01-23,WA,,0.0,,
2020-01-23,WI,,0.0,,
2020-01-23,WV,,0.0,,
2020-01-23,WY,,0.0,,
2020-01-24,AK,,0.0,,
2020-01-24,AL,,0.0,,
2020-01-24,AR,,0.0,,
2020-01-24,AS,,0.0,,
2020-01-24,AZ,,0.0,,
2020-01-24,CA,,0.0,,
2020-01-24,CO,,0.0,,
2020-01-24,CT,,0.0,,
2020-01-24,DC,,0.0,,
2020-01-24,DE,,0.0,,
2020-01-24,FL,,0.0,,
2020-01-24,FSM,,0.0,,
2020-01-24,GA,,0.0,,
2020-01-24,GU,,0.0,,
2020-01-24,HI,,0.0,,
2020-01-24,IA,,0.0,,
2020-01-24,ID,,0.0,,
2020-01-24,IL,,0.0,,
2020-01-24,IN,,0.0,,
2020-01-24,KS,,0.0,,
2020-01-24,KY,,0.0,,
2020-01-24,LA,,0.0,,
2020-01-24,MA,,0.0,,
2020-01-24,MD,,0.0,,
2020-01-24,ME,,0.0,,
2020-01-24,MI,,0.0,,
2020-01-24,MN,,0.0,,
2020-01-24,MO,,0.0,,
2020-01-24,MP,,0.0,,
2020-01-24,MS,,0.0,,
2020-01-24,MT,,0.0,,
2020-01-24,NC,,0.0,,
2020-01-24,ND,,0.0,,
2020-01-24,NE,,0.0,,
2020-01-24,NH,,0.0,,
2020-01-24,NJ,,0.0,,
2020-01-24,NM,,0.0,,
2020-01-24,NV,,0.0,,
2020-01-24,NY,,0.0,,
2020-01-24,OH,,0.0,,
2020-01-24,OK,,0.0,,
2020-01-24,OR,,0.0,,
2020-01-24,PA,,0.0,,
2020-01-24,PR,,0.0,,
2020-01-24,PW,,0.0,,
2020-01-24,RI,,0.0,,
2020-01-24,RMI,,0.0,,
2020-01-24,SC,,0.0,,
2020-01-24,SD,,0.0,,
2020-01-24,TN,,0.0,,
2020-01-24,TX,,0.0,,
2020-01-24,UT,,0.0,,
2020-01-24,VA,,0.0,,
2020-01-24,VI,,0.0,,
2020-01-24,VT,,0.0,,
2020-01-24,WA,,0.0,,
2020-01-24,WI,,0.0,,
2020-01-24,WV,,0.0,,
2020-01-24,WY,,0.0,,
2020-01-25,AK,,0.0,,
2020-01-25,AL,,0.0,,
2020-01-25,AR,,0.0,,
2020-01-25,AS,,0.0,,
2020-01-25,AZ,,0.0,,
2020-01-25,CA,,0.0,,
2020-01-25,CO,,0.0,,
2020-01-25,CT,,0.0,,
2020-01-25,DC,,0.0,,
2020-01-25,DE,,0.0,,
2020-01-25,FL,,0.0,,
2020-01-25,FSM,,0.0,,
2020-01-25,GA,,0.0,,
2020-01-25,GU,,0.0,,
2020-01-25,HI,,0.0,,
2020-01-25,IA,,0.0,,
2020-01-25,ID,,0.0,,
2020-01-25,IL,,0.0,,
2020-01-25,IN,,0.0,,
2020-01-25,KS,,0.0,,
2020-01-25,KY,,0.0,,
2020-01-25,LA,,0.0,,
2020-01-25,MA,,0.0,,
2020-01-25,MD,,0.0,,
2020-01-25,ME,,0.0,,
2020-01-25,MI,,0.0,,
2020-01-25,MN,,0.0,,
2020-01-25,MO,,0.0,,
2020-01-25,MP,,0.0,,
2020-01-25,MS,,0.0,,
2020-01-25,MT,,0.0,,
2020-01-25,NC,,0.0,,
2020-01-25,ND,,0.0,,
2020-01-25,NE,,0.0,,
2020-01-25,NH,,0.0,,
2020-01-25,NJ,,0.0,,
2020-01-25,NM,,0.0,,
2020-01-25,NV,,0.0,,
2020-01-25,NY,,0.0,,
2020-01-25,OH,,0.0,,
2020-01-25,OK,,0.0,,
2020-01-25,OR,,0.0,,
2020-01-25,PA,,0.0,,
2020-01-25,PR,,0.0,,
2020-01-25,PW,,0.0,,
2020-01-25,RI,,0.0,,
2020-01-25,RMI,,0.0,,
2020-01-25,SC,,0.0,,
2020-01-25,SD,,0.0,,
2020-01-25,TN,,0.0,,
2020-01-25,TX,,0.0,,
2020-01-25,UT,,0.0,,
2020-01-25,VA,,0.0,,
2020-01-25,VI,,0.0,,
2020-01-25,VT,,0.0,,
2020-01-25,WA,,0.0,,
2020-01-25,WI,,0.0,,
2020-01-25,WV,,0.0,,
2020-01-25,WY,,0.0,,
2020-01-26,AK,,0.0,,
2020-01-26,AL,,0.0,,
2020-01-26,AR,,0.0,,
2020-01-26,AS,,0.0,,
2020-01-26,AZ,,0.0,,
2020-01-26,CA,,0.0,,
2020-01-26,CO,,0.0,,
2020-01-26,CT,,0.0,,
2020-01-26,DC,,0.0,,
2020-01-26,DE,,0.0,,
2020-01-26,FL,,0.0,,
2020-01-26,FSM,,0.0,,
2020-01-26,GA,,0.0,,
2020-01-26,GU,,0.0,,
2020-01-26,HI,,0.0,,
2020-01-26,IA,,0.0,,
2020-01-26,ID,,0.0,,
2020-01-26,IL,,0.0,,
2020-01-26,IN,,0.0,,
2020-01-26,KS,,0.0,,
2020-01-26,KY,,0.0,,
2020-01-26,LA,,0.0,,
2020-01-26,MA,,0.0,,
2020-01-26,MD,,0.0,,
2020-01-26,ME,,0.0,,
2020-01-26,MI,,0.0,,
2020-01-26,MN,,0.0,,
2020-01-26,MO,,0.0,,
2020-01-26,MP,,0.0,,
2020-01-26,MS,,0.0,,
2020-01-26,MT,,0.0,,
2020-01-26,NC,,0.0,,
2020-01-26,ND,,0.0,,
2020-01-26,NE,,0.0,,
2020-01-26,NH,,0.0,,
2020-01-26,NJ,,0.0,,
2020-01-26,NM,,0.0,,
2020-01-26,NV,,0.0,,
2020-01-26,NY,,0.0,,
2020-01-26,OH,,0.0,,
2020-01-26,OK,,0.0,,
2020-01-26,OR,,0.0,,
2020-01-26,PA,,0.0,,
2020-01-26,PR,,0.0,,
2020-01-26,PW,,0.0,,
2020-01-26,RI,,0.0,,
2020-01-26,RMI,,0.0,,
2020-01-26,SC,,0.0,,
2020-01-26,SD,,0.0,,
2020-01-26,TN,,0.0,,
2020-01-26,TX,,0.0,,
2020-01-26,UT,,0.0,,
2020-01-26,VA,,0.0,,
2020-01-26,VI,,0.0,,
2020-01-26,VT,,0.0,,
2020-01-26,WA,,0.0,,
2020-01-26,WI,,0.0,,
2020-01-26,WV,,0.0,,
2020-01-26,WY,,0.0,,
2020-01-27,AK,,0.0,,
2020-01-27,AL,,0.0,,
2020-01-27,AR,,0.0,,
2020-01-27,AS,,0.0,,
2020-01-27,AZ,,0.0,,
2020-01-27,CA,,0.0,,
2020-01-27,CO,,0.0,,
2020-01-27,CT,,0.0,,
2020-01-27,DC,,0.0,,
2020-01-27,DE,,0.0,,
2020-01-27,FL,,0.0,,
2020-01-27,FSM,,0.0,,
2020-01-27,GA,,0.0,,
2020-01-27,GU,,0.0,,
2020-01-27,HI,,0.0,,
2020-01-27,IA,,0.0,,
2020-01-27,ID,,0.0,,
2020-01-27,IL,,0.0,,
2020-01-27,IN,,0.0,,
2020-01-27,KS,,0.0,,
2020-01-27,KY,,0.0,,
2020-01-27,LA,,0.0,,
2020-01-27,MA,,0.0,,
2020-01-27,MD,,0.0,,
2020-01-27,ME,,0.0,,
2020-01-27,MI,,0.0,,
2020-01-27,MN,,0.0,,
2020-01-27,MO,,0.0,,
2020-01-27,MP,,0.0,,
2020-01-27,MS,,0.0,,
2020-01-27,MT,,0.0,,
2020-01-27,NC,,0.0,,
2020-01-27,ND,,0.0,,
2020-01-27,NE,,0.0,,
2020-01-27,NH,,0.0,,
2020-01-27,NJ,,0.0,,
2020-01-27,NM,,0.0,,
2020-01-27,NV,,0.0,,
2020-01-27,NY,,0.0,,
2020-01-27,OH,,0.0,,
2020-01-27,OK,,0.0,,
2020-01-27,OR,,0.0,,
2020-01-27,PA,,0.0,,
2020-01-27,PR,,0.0,,
2020-01-27,PW,,0.0,,
2020-01-27,RI,,0.0,,
2020-01-27,RMI,,0.0,,
2020-01-27,SC,,0.0,,
2020-01-27,SD,,0.0,,
2020-01-27,TN,,0.0,,
2020-01-27,TX,,0.0,,
2020-01-27,UT,,0.0,,
2020-01-27,VA,,0.0,,
2020-01-27,VI,,0.0,,
2020-01-27,VT,,0.0,,
2020-01-27,WA,,0.0,,
2020-01-27,WI,,0.0,,
2020-01-27,WV,,0.0,,
2020-01-27,WY,,0.0,,
2020-01-28,AK,,0.0,,
2020-01-28,AL,,0.0,,
2020-01-28,AR,,0.0,,
2020-01-28,AS,,0.0,,
2020-01-28,AZ,,0.0,,
2020-01-28,CA,,0.0,,
2020-01-28,CO,,0.0,,
2020-01-28,CT,,0.0,,
2020-01-28,DC,,0.0,,
2020-01-28,DE,,0.0,,
2020-01-28,FL,,0.0,,
2020-01-28,FSM,,0.0,,
2020-01-28,GA,,0.0,,
2020-01-28,GU,,0.0,,
2020-01-28,HI,,0.0,,
2020-01-28,IA,,0.0,,
2020-01-28,ID,,0.0,,
2020-01-28,IL,,0.0,,
2020-01-28,IN,,0.0,,
2020-01-28,KS,,0.0,,
2020-01-28,KY,,0.0,,
2020-01-28,LA,,0.0,,
2020-01-28,MA,,0.0,,
2020-01-28,MD,,0.0,,
2020-01-28,ME,,0.0,,
2020-01-28,MI,,0.0,,
2020-01-28,MN,,0.0,,
2020-01-28,MO,,0.0,,
2020-01-28,MP,,0.0,,
2020-01-28,MS,,0.0,,
2020-01-28,MT,,0.0,,
2020-01-28,NC,,0.0,,
2020-01-28,ND,,0.0,,
2020-01-28,NE,,0.0,,
2020-01-28,NH,,0.0,,
2020-01-28,NJ,,0.0,,
2020-01-28,NM,,0.0,,
2020-01-28,NV,,0.0,,
2020-01-28,NY,,0.0,,
2020-01-28,OH,,0.0,,
2020-01-28,OK,,0.0,,
2020-01-28,OR,,0.0,,
2020-01-28,PA,,0.0,,
2020-01-28,PR,,0.0,,
2020-01-28,PW,,0.0,,
2020-01-28,RI,,0.0,,
2020-01-28,RMI,,0.0,,
2020-01-28,SC,,0.0,,
2020-01-28,SD,,0.0,,
2020-01-28,TN,,0.0,,
2020-01-28,TX,,0.0,,
2020-01-28,UT,,0.0,,
2020-01-28,VA,,0.0,,
2020-01-28,VI,,0.0,,
2020-01-28,VT,,0.0,,
2020-01-28,WA,,0.0,,
2020-01-28,WI,,0.0,,
2020-01-28,WV,,0.0,,
2020-01-28,WY,,0.0,,
2020-01-29,AK,,0.0,,
2020-01-29,AL,,0.0,,
2020-01-29,AR,,0.0,,
2020-01-29,AS,,0.0,,
2020-01-29,AZ,,0.0,,
2020-01-29,CA,,0.0,,
2020-01-29,CO,,0.0,,
2020-01-29,CT,,0.0,,
2020-01-29,DC,,0.0,,
2020-01-29,DE,,0.0,,
2020-01-29,FL,,0.0,,
2020-01-29,FSM,,0.0,,
2020-01-29,GA,,0.0,,
2020-01-29,GU,,0.0,,
2020-01-29,HI,,0.0,,
2020-01-29,IA,,0.0,,
2020-01-29,ID,,0.0,,
2020-01-29,IL,,0.0,,
2020-01-29,IN,,0.0,,
2020-01-29,KS,,0.0,,
2020-01-29,KY,,0.0,,
2020-01-29,LA,,0.0,,
2020-01-29,MA,,0.0,,
2020-01-29,MD,,0.0,,
2020-01-29,ME,,0.0,,
2020-01-29,MI,,0.0,,
2020-01-29,MN,,0.0,,
2020-01-29,MO,,0.0,,
2020-01-29,MP,,0.0,,
2020-01-29,MS,,0.0,,
2020-01-29,MT,,0.0,,
2020-01-29,NC,,0.0,,
2020-01-29,ND,,0.0,,
2020-01-29,NE,,0.0,,
2020-01-29,NH,,0.0,,
2020-01-29,NJ,,0.0,,
2020-01-29,NM,,0.0,,
2020-01-29,NV,,0.0,,
2020-01-29,NY,,0.0,,
2020-01-29,OH,,0.0,,
2020-01-29,OK,,0.0,,
2020-01-29,OR,,0.0,,
2020-01-29,PA,,0.0,,
2020-01-29,PR,,0.0,,
2020-01-29,PW,,0.0,,
2020-01-29,RI,,0.0,,
2020-01-29,RMI,,0.0,,
2020-01-29,SC,,0.0,,
2020-01-29,SD,,0.0,,
2020-01-29,TN,,0.0,,
2020-01-29,TX,,0.0,,
2020-01-29,UT,,0.0,,
2020-01-29,VA,,0.0,,
2020-01-29,VI,,0.0,,
2020-01-29,VT,,0.0,,
2020-01-29,WA,,0.0,,
2020-01-29,WI,,0.0,,
2020-01-29,WV,,0.0,,
2020-01-29,WY,,0.0,,
2020-01-30,AK,,0.0,,
2020-01-30,AL,,0.0,,
2020-01-30,AR,,0.0,,
2020-01-30,AS,,0.0,,
2020-01-30,AZ,,0.0,,
2020-01-30,CA,,0.0,,
2020-01-30,CO,,0.0,,
2020-01-30,CT,,0.0,,
2020-01-30,DC,,0.0,,
2020-01-30,DE,,0.0,,
2020-01-30,FL,,0.0,,
2020-01-30,FSM,,0.0,,
2020-01-30,GA,,0.0,,
2020-01-30,GU,,0.0,,
2020-01-30,HI,,0.0,,
2020-01-30,IA,,0.0,,
2020-01-30,ID,,0.0,,
2020-01-30,IL,,0.0,,
2020-01-30,IN,,0.0,,
2020-01-30,KS,,0.0,,
2020-01-30,KY,,0.0,,
2020-01-30,LA,,0.0,,
2020-01-30,MA,,0.0,,
2020-01-30,MD,,0.0,,
2020-01-30,ME,,0.0,,
2020-01-30,MI,,0.0,,
2020-01-30,MN,,0.0,,
2020-01-30,MO,,0.0,,
2020-01-30,MP,,0.0,,
2020-01-30,MS,,0.0,,
2020-01-30,MT,,0.0,,
2020-01-30,NC,,0.0,,
2020-01-30,ND,,0.0,,
2020-01-30,NE,,0.0,,
2020-01-30,NH,,0.0,,
2020-01-30,NJ,,0.0,,
2020-01-30,NM,,0.0,,
2020-01-30,NV,,0.0,,
2020-01-30,NY,,0.0,,
2020-01-30,OH,,0.0,,
2020-01-30,OK,,0.0,,
2020-01-30,OR,,0.0,,
2020-01-30,PA,,0.0,,
2020-01-30,PR,,0.0,,
2020-01-30,PW,,0.0,,
2020-01-30,RI,,0.0,,
2020-01-30,RMI,,0.0,,
2020-01-30,SC,,0.0,,
2020-01-30,SD,,0.0,,
2020-01-30,TN,,0.0,,
2020-01-30,TX,,0.0,,
2020-01-30,UT,,0.0,,
2020-01-30,VA,,0.0,,
2020-01-30,VI,,0.0,,
2020-01-30,VT,,0.0,,
2020-01-30,WA,,0.0,,
2020-01-30,WI,,0.0,,
2020-01-30,WV,,0.0,,
2020-01-30,WY,,0.0,,
2020-01-31,AK,,0.0,,
2020-01-31,AL,,0.0,,
2020-01-31,AR,,0.0,,
2020-01-31,AS,,0.0,,
2020-01-31,AZ,,0.0,,
2020-01-31,CA,,0.0,,
2020-01-31,CO,,0.0,,
2020-01-31,CT,,0.0,,
2020-01-31,DC,,0.0,,
2020-01-31,DE,,0.0,,
2020-01-31,FL,,0.0,,
2020-01-31,FSM,,0.0,,
2020-01-31,GA,,0.0,,
2020-01-31,GU,,0.0,,
2020-01-31,HI,,0.0,,
2020-01-31,IA,,0.0,,
2020-01-31,ID,,0.0,,
2020-01-31,IL,,0.0,,
2020-01-31,IN,,0.0,,
2020-01-31,KS,,0.0,,
2020-01-31,KY,,0.0,,
2020-01-31,LA,,0.0,,
2020-01-31,MA,,0.0,,
2020-01-31,MD,,0.0,,
2020-01-31,ME,,0.0,,
2020-01-31,MI,,0.0,,
2020-01-31,MN,,0.0,,
2020-01-31,MO,,0.0,,
2020-01-31,MP,,0.0,,
2020-01-31,MS,,0.0,,
2020-01-31,MT,,0.0,,
2020-01-31,NC,,0.0,,
2020-01-31,ND,,0.0,,
2020-01-31,NE,,0.0,,
2020-01-31,NH,,0.0,,
2020-01-31,NJ,,0.0,,
2020-01-31,NM,,0.0,,
2020-01-31,NV,,0.0,,
2020-01-31,NY,,0.0,,
2020-01-31,OH,,0.0,,
2020-01-31,OK,,0.0,,
2020-01-31,OR,,0.0,,
2020-01-31,PA,,0.0,,
2020-01-31,PR,,0.0,,
2020-01-31,PW,,0.0,,
2020-01-31,RI,,0.0,,
2020-01-31,RMI,,0.0,,
2020-01-31,SC,,0.0,,
2020-01-31,SD,,0.0,,
2020-01-31,TN,,0.0,,
2020-01-31,TX,,0.0,,
2020-01-31,UT,,0.0,,
2020-01-31,VA,,0.0,,
2020-01-31,VI,,0.0,,
2020-01-31,VT,,0.0,,
2020-01-31,WA,,0.0,,
2020-01-31,WI,,0.0,,
2020-01-31,WV,,0.0,,
2020-01-31,WY,,0.0,,
2020-02-01,AK,,0.0,,
2020-02-01,AL,,0.0,,
2020-02-01,AR,,0.0,,
2020-02-01,AS,,0.0,,
2020-02-01,AZ,,0.0,,
2020-02-01,CA,,0.0,,
2020-02-01,CO,,0.0,,
2020-02-01,CT,,0.0,,
2020-02-01,DC,,0.0,,
2020-02-01,DE,,0.0,,
2020-02-01,FL,,0.0,,
2020-02-01,FSM,,0.0,,
2020-02-01,GA,,0.0,,
2020-02-01,GU,,0.0,,
2020-02-01,HI,,0.0,,
2020-02-01,IA,,0.0,,
2020-02-01,ID,,0.0,,
2020-02-01,IL,,0.0,,
2020-02-01,IN,,0.0,,
2020-02-01,KS,,0.0,,
2020-02-01,KY,,0.0,,
2020-02-01,LA,,0.0,,
2020-02-01,MA,,0.0,,
2020-02-01,MD,,0.0,,
2020-02-01,ME,,0.0,,
2020-02-01,MI,,0.0,,
2020-02-01,MN,,0.0,,
2020-02-01,MO,,0.0,,
2020-02-01,MP,,0.0,,
2020-02-01,MS,,0.0,,
2020-02-01,MT,,0.0,,
2020-02-01,NC,,0.0,,
2020-02-01,ND,,0.0,,
2020-02-01,NE,,0.0,,
2020-02-01,NH,,0.0,,
2020-02-01,NJ,,0.0,,
2020-02-01,NM,,0.0,,
2020-02-01,NV,,0.0,,
2020-02-01,NY,,0.0,,
2020-02-01,OH,,0.0,,
2020-02-01,OK,,0.0,,
2020-02-01,OR,,0.0,,
2020-02-01,PA,,0.0,,
2020-02-01,PR,,0.0,,
2020-02-01,PW,,0.0,,
2020-02-01,RI,,0.0,,
2020-02-01,RMI,,0.0,,
2020-02-01,SC,,0.0,,
2020-02-01,SD,,0.0,,
2020-02-01,TN,,0.0,,
2020-02-01,TX,,0.0,,
2020-02-01,UT,,0.0,,
2020-02-01,VA,,0.0,,
2020-02-01,VI,,0.0,,
2020-02-01,VT,,0.0,,
2020-02-01,WA,,0.0,,
2020-02-01,WI,,0.0,,
2020-02-01,WV,,0.0,,
2020-02-01,WY,,0.0,,
2020-02-02,AK,,0.0,,
2020-02-02,AL,,0.0,,
2020-02-02,AR,,0.0,,
2020-02-02,AS,,0.0,,
2020-02-02,AZ,,0.0,,
2020-02-02,CA,,0.0,,
2020-02-02,CO,,0.0,,
2020-02-02,CT,,0.0,,
2020-02-02,DC,,0.0,,
2020-02-02,DE,,0.0,,
2020-02-02,FL,,0.0,,
2020-02-02,FSM,,0.0,,
2020-02-02,GA,,0.0,,
2020-02-02,GU,,0.0,,
2020-02-02,HI,,0.0,,
2020-02-02,IA,,0.0,,
2020-02-02,ID,,0.0,,
2020-02-02,IL,,0.0,,
2020-02-02,IN,,0.0,,
2020-02-02,KS,,0.0,,
2020-02-02,KY,,0.0,,
2020-02-02,LA,,0.0,,
2020-02-02,MA,,0.0,,
2020-02-02,MD,,0.0,,
2020-02-02,ME,,0.0,,
2020-02-02,MI,,0.0,,
2020-02-02,MN,,0.0,,
2020-02-02,MO,,0.0,,
2020-02-02,MP,,0.0,,
2020-02-02,MS,,0.0,,
2020-02-02,MT,,0.0,,
2020-02-02,NC,,0.0,,
2020-02-02,ND,,0.0,,
2020-02-02,NE,,0.0,,
2020-02-02,NH,,0.0,,
2020-02-02,NJ,,0.0,,
2020-02-02,NM,,0.0,,
2020-02-02,NV,,0.0,,
2020-02-02,NY,,0.0,,
2020-02-02,OH,,0.0,,
2020-02-02,OK,,0.0,,
2020-02-02,OR,,0.0,,
2020-02-02,PA,,0.0,,
2020-02-02,PR,,0.0,,
2020-02-02,PW,,0.0,,
2020-02-02,RI,,0.0,,
2020-02-02,RMI,,0.0,,
2020-02-02,SC,,0.0,,
2020-02-02,SD,,0.0,,
2020-02-02,TN,,0.0,,
2020-02-02,TX,,0.0,,
2020-02-02,UT,,0.0,,
2020-02-02,VA,,0.0,,
2020-02-02,VI,,0.0,,
2020-02-02,VT,,0.0,,
2020-02-02,WA,,0.0,,
2020-02-02,WI,,0.0,,
2020-02-02,WV,,0.0,,
2020-02-02,WY,,0.0,,
2020-02-03,AK,,0.0,,
2020-02-03,AL,,0.0,,
2020-02-03,AR,,0.0,,
2020-02-03,AS,,0.0,,
2020-02-03,AZ,,0.0,,
2020-02-03,CA,,0.0,,
2020-02-03,CO,,0.0,,
2020-02-03,CT,,0.0,,
2020-02-03,DC,,0.0,,
2020-02-03,DE,,0.0,,
2020-02-03,FL,,0.0,,
2020-02-03,FSM,,0.0,,
2020-02-03,GA,,0.0,,
2020-02-03,GU,,0.0,,
2020-02-03,HI,,0.0,,
2020-02-03,IA,,0.0,,
2020-02-03,ID,,0.0,,
2020-02-03,IL,,0.0,,
2020-02-03,IN,,0.0,,
2020-02-03,KS,,0.0,,
2020-02-03,KY,,0.0,,
2020-02-03,LA,,0.0,,
2020-02-03,MA,,0.0,,
2020-02-03,MD,,0.0,,
2020-02-03,ME,,0.0,,
2020-02-03,MI,,0.0,,
2020-02-03,MN,,0.0,,
2020-02-03,MO,,0.0,,
2020-02-03,MP,,0.0,,
2020-02-03,MS,,0.0,,
2020-02-03,MT,,0.0,,
2020-02-03,NC,,0.0,,
2020-02-03,ND,,0.0,,
2020-02-03,NE,,0.0,,
2020-02-03,NH,,0.0,,
2020-02-03,NJ,,0.0,,
2020-02-03,NM,,0.0,,
2020-02-03,NV,,0.0,,
2020-02-03,NY,,0.0,,
2020-02-03,OH,,0.0,,
2020-02-03,OK,,0.0,,
2020-02-03,OR,,0.0,,
2020-02-03,PA,,0.0,,
2020-02-03,PR,,0.0,,
2020-02-03,PW,,0.0,,
2020-02-03,RI,,0.0,,
2020-02-03,RMI,,0.0,,
2020-02-03,SC,,0.0,,
2020-02-03,SD,,0.0,,
2020-02-03,TN,,0.0,,
2020-02-03,TX,,0.0,,
2020-02-03,UT,,0.0,,
2020-02-03,VA,,0.0,,
2020-02-03,VI,,0.0,,
2020-02-03,VT,,0.0,,
2020-02-03,WA,,0.0,,
2020-02-03,WI,,0.0,,
2020-02-03,WV,,0.0,,
2020-02-03,WY,,0.0,,
2020-02-04,AK,,0.0,,
2020-02-04,AL,,0.0,,
2020-02-04,AR,,0.0,,
2020-02-04,AS,,0.0,,
2020-02-04,AZ,,0.0,,
2020-02-04,CA,,0.0,,
2020-02-04,CO,,0.0,,
2020-02-04,CT,,0.0,,
2020-02-04,DC,,0.0,,
2020-02-04,DE,,0.0,,
2020-02-04,FL,,0.0,,
2020-02-04,FSM,,0.0,,
2020-02-04,GA,,0.0,,
2020-02-04,GU,,0.0,,
2020-02-04,HI,,0.0,,
2020-02-04,IA,,0.0,,
2020-02-04,ID,,0.0,,
2020-02-04,IL,,0.0,,
2020-02-04,IN,,0.0,,
2020-02-04,KS,,0.0,,
2020-02-04,KY,,0.0,,
2020-02-04,LA,,0.0,,
2020-02-04,MA,,0.0,,
2020-02-04,MD,,0.0,,
2020-02-04,ME,,0.0,,
2020-02-04,MI,,0.0,,
2020-02-04,MN,,0.0,,
2020-02-04,MO,,0.0,,
2020-02-04,MP,,0.0,,
2020-02-04,MS,,0.0,,
2020-02-04,MT,,0.0,,
2020-02-04,NC,,0.0,,
2020-02-04,ND,,0.0,,
2020-02-04,NE,,0.0,,
2020-02-04,NH,,0.0,,
2020-02-04,NJ,,0.0,,
2020-02-04,NM,,0.0,,
2020-02-04,NV,,0.0,,
2020-02-04,NY,,0.0,,
2020-02-04,OH,,0.0,,
2020-02-04,OK,,0.0,,
2020-02-04,OR,,0.0,,
2020-02-04,PA,,0.0,,
2020-02-04,PR,,0.0,,
2020-02-04,PW,,0.0,,
2020-02-04,RI,,0.0,,
2020-02-04,RMI,,0.0,,
2020-02-04,SC,,0.0,,
