,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease
2020-05-26,74.09178203264088,2.929221227480391,49.52795939174445,47.71681659908993,49.44401273354974,54.67469647109067,139.64013075445058,170.54587001719986,187.1365436882356,34.620566802332505,61.186491029212746,0.4540362002053455,14.628934673812727,170.08492420195284,73.74982899397658,108.46487897710216,51.53679182637269,30.28102421231685,92.25126836275017,33.58313803392407,160.98862564437985,148.82629928281705,46.01762382012965,117.34554919287542,91.75327867369158,26.593270945791254,1.2029760022327236,139.6883623900882,39.0982052300505,54.47586183492563,122.32343599945509,65.33675373623696,93.08248059497765,59.89109709102798,79.9522498544363,47.3945812765739,25.362112296790364,11.228092898429383,59.399252055955635,4.003424963604618,158.99072311381238,34.530120392337636,79.93394710762644,50.769578533844026,38.21232401940124,48.74852205977567,4.693306177787474,113.32476845118784,31.338963941168593,19.250652987729243,70.36821468724003,21.59793627399315,2.1268974000718774,0.0,2.404269873385653,0.5680573404653563,1.7481028230537312,4.254405827945577,14.58508108884362,8.068836861028808,10.525798022485938,1.626268699936657,2.7582695241316357,0.0,0.35972790181506714,7.451854901404576,4.519842778223856,4.278827411119246,0.7355393695486112,1.279029533783183,5.43919870093497,0.7439302729033813,6.888035281863603,13.803818024142627,3.6834125376696876,3.723647216697827,4.680065221388926,1.8853872618022682,0.06683200012404018,1.846264372060378,1.4377750440469343,4.044977204714826,14.057022294855534,3.6108946277586638,6.3117346117615325,1.287175045508789,1.499690501372779,3.4586556217819533,0.7220530191257043,0.30483510131482494,7.509993731666004,0.33548253884954893,12.810957333174027,1.262451167417728,0.8881549678625161,0.8158275907787048,0.9927518424328712,0.6238384907101091,0.11447088238506034,2.8870953415787772,1.1725143647548861,0.6775592148890208,1.2145141656270506,0.7405006722511935
2020-05-27,76.13127269024405,2.929221227480391,49.91067990220176,50.01271501680407,50.3261990599719,53.23588866921987,128.8816300062239,157.26896572768877,184.40388458624403,33.543039074767115,61.1461261093474,0.4035877335158626,16.22772534854636,166.8944931322138,73.88775846842942,114.80388254913068,45.82410272287848,35.55702103917249,89.65458875693659,33.05175926756451,160.81140346731644,142.21456061960157,42.93500090025463,116.72494132342578,94.89732248908622,27.349753489106977,1.2698080023567637,145.00560378162209,39.863472592204516,52.11191411788451,122.70139941356163,64.31480242649394,89.23816056093791,60.013685190600256,74.60960244329576,47.1623747153942,24.85667518340237,11.532927999744212,59.80655483635059,4.383638507634107,154.7428793664968,37.401849970969174,78.96505077904918,51.627243436970346,38.22710444385432,46.47596755790313,4.693306177787474,112.99840115170501,29.978847278052925,18.69266304605593,74.39205959962057,21.22768593786755,1.9229483343115605,0.0,2.3257631020097946,0.5917263963180797,1.7173709223382057,4.09316012601178,13.583358486587878,7.4820123620448955,9.614911655155424,1.6695028371537863,2.704449630977848,0.0,0.4796372024200894,7.277113977090246,4.360693384624424,4.188270217233124,1.005237138383102,1.2630416646108933,5.2394541158723875,0.797068149539337,6.817146411038248,12.767495349657446,3.5403673905757187,3.8503018839324477,4.920068566075536,1.7922817180095636,0.06683200012404018,1.846264372060378,1.4145851239816607,3.7823163472658115,13.646891781676107,3.338374278493859,5.984949050128736,1.3416586453186845,1.7808824703801756,3.428102126889886,0.7942583210382747,0.30483510131482494,7.376085968248483,0.31311703625957904,13.013235606855725,1.5399129624545913,1.211120410721613,0.8367462469525179,0.9952152465083871,0.6683983829036882,0.11447088238506034,2.962410872228658,1.0880933304925344,0.6377027904837844,1.447602742868606,0.7405006722511935
2020-05-28,77.82113637797238,3.7103468881418293,49.94011994146771,54.486166572968756,51.5807837127116,53.12425702941956,122.10998521497507,142.8917655025829,177.72405122582026,32.95106396517872,61.9736069665869,0.3026908001368969,16.267695115414703,157.2442846668548,74.42886640666748,110.8872839135559,45.82410272287848,31.927774737062702,81.63407541826977,33.15803502083642,163.11529176914047,131.74770160730122,41.20415462041761,113.9132077108172,93.33730074862322,27.419582646951504,1.5371360028529244,144.0455463081507,39.63157339155178,51.84925326043549,123.07936282766816,63.39504624772522,86.95433337739188,60.64705703839029,72.172605378565,46.184662878848066,23.611133725410532,10.53374627876784,58.060174421780424,4.629659036123776,148.2699746086826,36.05616026504038,80.82210207548897,52.08745387279424,39.22970990258927,48.392042922227034,5.036718824942656,113.70971449673166,31.37648440084075,19.0912272901083,76.15862565871446,21.59793627399315,1.7918382206085,0.0,2.286509716321866,0.5443882846126331,1.7011010925476326,4.09316012601178,12.16091239138472,7.11524705017995,9.614911655155424,1.656200025702362,2.9264566902372238,0.0,0.5196069692884303,7.09109944475564,4.477402939930674,4.210909515704656,1.005237138383102,1.1831023187494443,4.962884690401118,0.797068149539337,6.687183481191766,12.00061657053841,3.3830177287723537,3.9769565511670666,5.112071241824825,1.687537981242771,0.06683200012404018,2.0678160967076233,1.5537246443732997,3.834848518755614,12.15916344955467,3.1680490602033564,5.698552715214601,1.4438153949622392,1.874613126715974,3.4464342238251264,0.7581556700819895,0.23709396768930827,6.444311114468229,0.31311703625957904,14.092053066491431,1.3734358854324733,0.8881549678625161,0.7216936379965467,0.9484105690735867,0.690678329000478,0.22894176477012068,3.2050942487671645,1.1256137901646905,0.5579899416733114,1.4230671031589686,0.987334229668258
2020-05-29,81.68160083700697,4.100909718472548,51.97148265081803,49.113290894400606,52.33461915967479,54.339801551689725,113.73558426011707,136.65675520087885,168.7163971488852,34.39774471052115,60.473377444925056,0.5044846668948283,16.70736255096645,152.67847341864172,73.2405509344584,110.41185864565377,44.94145547942014,31.320235708515686,76.28706652582524,33.10489714420047,165.4309948827687,125.3017745720034,38.82960517865774,109.55628715794629,95.73733419548935,27.221733366392012,1.8044640033490853,141.9777302114431,40.25770123331416,48.4346621135983,121.72030289183829,62.3730949379822,82.50784669045574,63.739001327601876,71.14156815887121,46.514640623682375,22.600259498634546,10.27971702767215,59.7953958560658,4.584928030943836,144.62896568241206,37.790296484020786,79.04579213976395,53.4994631645266,38.94149162575392,52.38015327355237,5.036718824942656,115.99428559311139,31.742308882644277,20.32677644667063,79.7285612364667,21.59793627399315,1.8792449630772066,0.0,2.296323062743848,0.6390645080235259,1.7354485109943971,3.5474054425435417,11.680085542301965,6.601775613569026,9.311282866045252,1.6761542428794989,2.8053619306412,0.0,0.3996976686834079,6.831806460289217,4.445573061210787,4.210909515704656,0.8826472434583337,1.2950174029554726,4.8860598499924315,0.8502060261752928,6.462702056911475,11.668993314703155,3.2399725816783853,3.9769565511670666,5.208072579699471,1.8853872618022682,0.06683200012404018,1.8831896595015853,1.5537246443732997,3.834848518755614,11.660573413924784,3.099918972887155,5.419499876067494,1.4846780948196612,1.874613126715974,3.3608844381273393,0.7942583210382747,0.23709396768930827,6.260187939769136,0.22365502589969932,14.429183522627591,1.428928244439846,1.211120410721613,0.7321529660834531,0.8720450427325965,0.6683983829036882,0.22894176477012068,3.188357464178302,1.153754134918808,0.47827709286283826,1.5089418421426997,0.987334229668258
2020-05-30,85.01762484122928,4.003269010889867,55.19026027722822,57.634151001380935,54.386425472152546,55.381696856492724,106.56325042796595,137.5369919493547,169.52607391984563,35.302335889218014,61.48250044155859,0.5549331335843111,16.54748348349309,149.1498341082943,73.53762980251066,111.29479128604348,44.94145547942014,32.295495728025365,83.89272572628514,33.68941378719598,165.96266141395887,117.80916163547553,37.892659465192246,107.35249594806389,98.5453733283227,26.61654733173943,2.472784004589487,143.34396584676773,41.41719723657781,54.00307229151741,118.35079926395244,60.53358258044477,78.67821364795005,66.00007071971254,66.1738433730739,46.19688427680489,21.31861538968642,9.991817209763708,58.138287283773984,4.1599834817344075,134.64990418078176,41.43891908875553,80.82210207548897,55.20433364269237,37.786155114337,54.9200671285864,5.151189707327717,116.55496787683829,32.033092445103485,20.605771417507288,79.78990033574078,19.376434257239563,1.9375161247230117,0.0,2.1981895985240256,0.8284169548453113,1.720986440069444,3.1132823988756257,11.479741021850817,6.088304176958101,8.805234884194968,1.6295944027995128,2.7649970107758595,0.0,0.35972790181506714,6.769801616177682,4.074224476145447,4.188270217233124,0.8826472434583337,1.3749567488169219,4.701680233011585,1.0096196560831605,6.1673317618058325,11.016110029777488,3.182754522840798,4.141607618572073,5.112071241824825,2.1181511212840296,0.06683200012404018,1.8831896595015853,1.6232944045691193,4.150041547694432,11.596239215778992,3.1339840165452553,5.03029460041495,1.53235124465332,1.9683437830517727,3.293666749364793,0.8303609719945598,0.23709396768930827,6.3271418214778965,0.24602052848966924,14.968592252445443,1.4844206034472187,1.4533444928659358,0.7216936379965467,0.7907527082405748,0.7575181672908466,0.22894176477012068,3.0795683643506955,1.1162336752466515,0.4384206684576018,1.6561556804005235,1.1107510083767906
2020-05-31,89.32969080301885,6.3466459928741825,58.87026518547156,59.03062529669161,57.38549743021474,55.0716089681585,95.80474967973926,134.0893980178242,169.82970270895584,34.417698927698275,62.46471349161521,0.6053816002737938,16.787302084703132,146.94584374032974,72.10528526011579,110.9552018089705,44.94145547942014,32.23154425133621,84.26148496024683,33.9019652937398,165.10018015225037,113.52914898985173,37.835441406354654,105.19936660507537,100.92140644072015,27.442859032899676,3.1411040058298894,136.06968422084987,40.25770123331416,51.95431760341509,115.09388048282173,59.64789144533415,75.81792204669219,68.62890441054003,63.549384995671524,46.38020524615728,21.589385271858557,9.703917391855262,57.53570234839513,3.5113839066252788,131.34602571064738,42.24355829436244,81.22580887906285,58.760505192240565,40.6535574582374,57.01438206168461,4.693306177787474,118.99017003451777,32.614659570021914,20.725340690722998,77.37313982434151,18.389100027571306,2.0831940288375237,0.0,2.2178162913679897,0.8284169548453113,1.720986440069444,2.8528085726748764,10.738466296181565,5.574832740347178,8.40039649871474,1.6129658884852325,2.9331841768814466,0.0,0.35972790181506714,6.837443264299356,4.0636145165721524,4.142991620290063,0.8826472434583337,1.5508233097121094,4.6094904245211605,1.0096196560831605,5.978294772938222,10.871024855349564,3.0182526036827344,4.040283884784377,5.112071241824825,2.0715983493876773,0.06683200012404018,1.7354885097367552,1.6001044845038463,3.7297841757760075,11.25044290074536,3.099918972887155,4.721867778199727,1.545972144605794,1.9683437830517727,3.238670458559072,0.8303609719945598,0.2709645345020666,6.343880291905086,0.2907515336696091,14.766313978763748,1.5815322317101208,1.4533444928659358,0.6903156537358273,0.827703769373312,0.7352382211940572,0.11447088238506034,3.0628315797618333,1.1068535603286125,0.3188513952418922,1.7052269598197987,0.987334229668258
2020-06-01,91.44202041267927,6.7372088232049006,58.41885125006038,62.24961689266197,58.88955280640987,54.2653804584895,92.69940961274646,127.3409162795092,160.61962943928063,34.570681259389666,64.16004012595953,0.6053816002737938,16.787302084703132,139.5052624469454,69.7604841944175,107.35555335199717,40.96954288385765,37.699395508259315,86.53550023634394,33.7956895404679,160.26792212432207,142.52545742194715,35.768439030846814,100.1838417825844,103.68144490461619,27.722175664277795,3.2747680060779696,138.58060376685197,41.324437556316724,55.4214409217421,105.13816331976044,58.04683439340342,74.6833519506862,69.73900775666665,65.04907549704429,46.01356330745249,21.210307436817565,10.499875711955081,54.91334198146866,2.4378397823067224,128.78383424401258,44.477125744409186,81.30655023977762,57.976055585722584,39.87512177037441,58.26205904310483,5.151189707327717,119.3165373340006,32.905443132481125,20.96447923715441,77.21365816622885,17.77201613402865,2.2871430945978406,0.0,2.2668830234779014,0.7810788431398651,1.7155631634725867,2.902422634808353,10.317742803234154,5.281420490855221,7.691929324124341,1.5630803455423896,2.906274230304553,0.0,0.35972790181506714,6.64015512394447,3.999954759132379,4.437302500419959,1.078791075337963,1.6787262630904276,3.656862403453455,0.9564817794472047,5.942850337525544,12.15606497171119,2.9753390595545444,4.05294935150784,5.064070572887504,1.9552164196467967,0.06683200012404018,1.7354885097367552,1.4377750440469343,3.834848518755614,10.792061738956594,3.1339840165452553,4.516249896722912,1.6140766443681636,1.874613126715974,3.3547737391489263,0.8303609719945598,0.2709645345020666,5.925418531225333,0.26838603107963915,14.429183522627591,1.512166782950905,1.4533444928659358,0.6903156537358273,0.8153867489957329,0.7352382211940572,0.11447088238506034,3.163252287295008,1.0974734454105735,0.3188513952418922,1.668423500255342,1.1107510083767906
2020-06-02,91.28177471815332,8.690022974858493,65.59240748452942,59.64602074886242,60.58703838122628,53.40953788668703,91.13672235322751,120.88584679068614,146.95633392932288,34.53742423076111,63.81693830710414,0.6053816002737938,18.026364857621697,139.89420192364506,69.30425593276578,105.65760596663237,40.96954288385765,33.83033116856519,87.70323781055598,33.7956895404679,149.20925827556678,137.18839564834843,32.37826904471976,95.42162629456267,103.58544356674155,29.03729147034975,3.4752640064500904,137.36206928129212,41.37081739644727,54.26573314896643,102.33962570041848,62.407159981640305,74.15094850757659,69.39167480787857,61.48731055628394,45.20695104230193,21.715744550205557,10.415199294923186,54.92450096175345,2.1918192538170533,121.50181639147158,46.59970847644119,79.28801622190825,62.724590537178116,41.03045828179133,59.79937532378332,4.922247942557596,117.94412099771387,33.243127269530525,21.203617783585834,79.28691972169322,16.784681904360387,2.141465190483329,0.0,2.3257631020097946,0.7337407314344188,1.720986440069444,2.6915628707410795,10.01722602255743,4.621242929498318,7.084671745903997,1.6096401856223757,2.9466391501698936,0.0,0.35972790181506714,6.459777395620003,3.9575149208391975,4.278827411119246,1.078791075337963,1.2150780570940238,3.90270189276125,1.115895409355072,5.694739289636804,11.886621076345042,2.853750684524671,4.1162766851251495,5.112071241824825,1.9435782266727086,0.06683200012404018,1.9570402343840003,1.4377750440469343,3.834848518755614,9.987884262134193,3.099918972887155,4.332662502547184,1.566403494534505,2.15580509572337,3.28755605038638,0.8123096465164173,0.2709645345020666,5.819408218519794,0.31311703625957904,13.485218245446347,1.4150551546880028,1.2918617714363871,0.7949089346048921,0.8104599408447014,0.5569986524197403,0.11447088238506034,3.0628315797618333,1.1443740200007686,0.35870781964712883,1.7174947796746172,0.8639174509597259
2020-06-03,88.96549604273258,10.15463358859869,71.99070935166183,72.52198713274383,60.794930650772486,52.87618671875217,81.62035763179794,111.34994868219756,148.27205868213363,36.97849013209751,62.20906899913472,0.6053816002737938,18.26618345883174,131.96885548538873,68.30691973287601,100.54112451206653,39.9888237244595,37.427601732330395,89.37801933146532,31.829588104937528,149.56370262969352,130.8046479735197,30.26120086772903,92.20459774680334,104.52145661101932,29.502819189313275,3.1411040058298894,139.02370721614648,40.930208915207075,54.00307229151741,95.49607537265985,62.1005745887174,72.3885095234896,72.565344496805,56.98823905216562,44.950301685208565,22.979337333675538,10.31358759448491,57.781199914660576,2.3931087771267827,115.97287691083858,49.873757657876176,79.5302403040526,65.78917366664172,41.74977227184195,62.09420977175265,5.036718824942656,117.13238694515405,34.09671772707209,20.96447923715441,78.41590451200109,15.797347674692128,1.981219495957365,0.0,2.296323062743848,0.8284169548453113,1.6721769506977262,2.418685529006961,9.215847940752836,4.474536804752339,6.679833360423769,1.5863602655823827,2.9331841768814466,0.0,0.2398186012100447,6.177937195113023,3.6392161336403346,4.210909515704656,1.078791075337963,1.342981010472342,4.025621637415148,1.1690332859910277,5.529331924377643,11.25446424490908,2.646335221238416,3.9389601509966816,5.0880709073561645,1.8039199109836517,0.06683200012404018,1.8093390846191704,1.4377750440469343,3.8873806902454167,9.53754487511365,3.1339840165452553,4.049937915516563,1.6140766443681636,1.874613126715974,3.1653420708181126,0.7581556700819895,0.2878998179084457,6.232290489057154,0.33548253884954893,13.75492261035527,1.6508976804693367,1.2918617714363871,0.8262869188656116,0.7759722837874801,0.6015585446133195,0.11447088238506034,2.962410872228658,0.9192512619678307,0.35870781964712883,1.6561556804005235,0.7405006722511935
2020-06-04,86.72205631936909,11.131040664425488,72.99167068670404,61.75256671975478,60.7587754734601,51.71025625861548,80.75887619385801,99.76016482726527,134.81118236491605,37.22791784681173,63.52092889475831,0.5044846668948283,19.34536716427694,124.42117491581179,65.35735097149988,104.93314841554341,39.9888237244595,38.850522088664185,77.71600855742678,30.235451805858858,145.6411851106906,124.14109317657999,28.651942962921886,84.95995078098308,104.11345092505208,31.620970310597304,4.009920007442411,138.2482761798811,42.5535033197762,48.69732297104731,90.51017501636099,64.07634712088723,68.56989172463443,75.6368574360879,50.5208237649955,43.47762323141095,22.148976361680976,10.12729947701474,51.15276562549327,2.4378397823067224,112.46672016702252,53.13393374955931,80.49913663262986,64.41900168725698,43.48400874100507,65.48076157846467,8.585316178879525,114.80597388730216,35.2035712874007,19.888355778213032,78.52631489069447,14.810013445023872,1.806406011019951,0.0,2.286509716321866,0.7574097872871417,1.5908278017448638,2.505510137740544,8.514642119173816,4.841302116617285,6.376204571313598,1.5597546426795337,2.6439022511798367,0.0,0.2398186012100447,6.3639517274476285,3.373967144307949,3.9392379340462904,1.078791075337963,1.3110052721277623,3.90270189276125,1.1690332859910277,5.281220876488902,10.912477762328969,2.4746810447256546,3.900963750826295,5.136071576293488,1.4547741217610095,0.06683200012404018,1.8093390846191704,1.4609649641122073,3.939912861735219,9.481252451736081,3.031788885570953,3.85533527769029,1.6617497942018222,1.6871518140443769,3.073681586141913,0.7220530191257043,0.2540292510956874,5.289356654992103,0.31311703625957904,13.485218245446347,1.6370245907174936,1.2918617714363871,0.9204208716477696,0.8055331326936698,0.5569986524197403,0.11447088238506034,2.8954637338732088,0.9192512619678307,0.3188513952418922,1.7052269598197987,0.7405006722511935
2020-06-05,84.84281135629188,12.009807032669606,85.6116341853732,71.93026073642575,62.28994723263953,51.20171212174734,76.53160681233875,91.25120959199855,132.1797328592946,38.20567448849143,63.258556915633584,0.4035877335158626,20.784278771537213,115.39101489156813,65.45284060765955,105.22745929567331,35.18329984340857,43.02335594263182,77.8081983659172,28.375626123600405,145.8656665349709,120.91812965893108,26.792356050700292,79.96975689193904,99.24138302791386,31.364930065167364,4.143584007690492,136.3281612329383,43.24920092173439,49.432773371904545,86.94766879403778,69.73114436813194,66.28973628897191,79.25320637346971,47.70890407492153,42.554907685670535,19.09830235587488,11.12648119799111,48.80380027554425,2.4378397823067224,105.99381540920828,52.925837403281676,74.36279321830705,64.07384386038905,44.74527162766916,71.18442777924281,8.585316178879525,113.65950414296508,36.27290438805716,20.047781475833975,76.7842844713102,16.0441812321092,2.024922867191719,0.0,2.3257631020097946,0.923093178256204,1.5456338301043848,2.480703106673806,8.03381527009106,4.767949054244297,5.768946993093254,1.5863602655823827,2.616992304602942,0.0,0.2398186012100447,6.087748330950787,3.363357184734653,3.7807628447455777,1.1523450122928243,1.279029533783183,3.7490522119438774,1.2221711626269836,5.056739452208614,10.435769332065787,2.3101791255675908,3.900963750826295,4.96806923501286,1.4896887006832735,0.13366400024808037,1.5877873599719252,1.3913952039163877,3.8873806902454167,8.9504953170333,2.895528710938551,3.598312925844271,1.6208870943444007,2.062074439387571,2.9514676065736456,0.6678990426912764,0.23709396768930827,5.032700108441855,0.33548253884954893,13.013235606855725,1.6508976804693367,1.211120410721613,0.9727175120823022,0.7587284552588693,0.6015585446133195,0.11447088238506034,2.6527803573347026,0.8817308022956744,0.5181335172680749,1.6806913201101614,0.6170838935426614
2020-06-06,88.93636046190966,12.790932693331044,92.36321652369702,82.5813358701512,63.96754745993411,48.175254331605316,76.05077996325603,84.7227870408025,131.8761040701844,39.90510865141093,61.73814493403908,1.1098662671686221,20.624399704063844,107.62913576960588,64.67831355880898,103.8011834919669,35.18329984340857,45.74129370192108,83.67761617314082,27.153454960973416,141.62414909725385,118.86621076345043,25.89832388136299,77.10736141243663,90.33725894004057,31.306739100296923,4.076752007566451,137.2512934189685,40.907018995141804,48.854919485516724,88.28260340556294,68.30041253449171,63.85169569431823,81.04435471722003,49.770978514309114,40.96001525230465,18.82753247370274,11.95631008490369,48.669892512126715,-11.406406320884667,103.29677176011901,55.78369389216137,72.586483282582,65.70549904194647,46.913067214123075,78.82644929044164,10.302379414655434,114.21181803439755,36.55430783559832,16.500559703767923,74.76009419526513,15.550514117275066,2.0831940288375237,0.0,2.384643180541689,0.9704312899616503,1.5384027946419083,2.480703106673806,7.613091777143647,4.4011837423793505,5.667737396723197,1.5331490197766846,2.442077651853131,0.0,0.15987906747336314,6.053927506889949,3.7028758910801067,3.486451964615682,1.1523450122928243,1.2630416646108933,3.948796797006462,1.115895409355072,5.127628323033968,10.207778343679047,2.174286235828321,4.05294935150784,4.488062545639637,1.547879665553714,0.13366400024808037,1.4400862102070946,1.368205283851115,3.939912861735219,8.620782551536115,2.8614636672804505,3.414725531668543,1.7366647439404297,2.15580509572337,2.529829377063125,0.6137450662568485,0.23709396768930827,4.658874268901274,0.33548253884954893,11.799565964765552,1.6647707702211796,1.211120410721613,0.9204208716477696,0.7710454756364484,0.5347187063229506,0.11447088238506034,2.518886080623803,0.9286313768858697,0.47827709286283826,1.69295913996498,0.6170838935426614
2020-06-07,89.92697020988837,13.57205835399248,103.53080475191281,82.93637170794203,65.26371056658306,47.46825394620326,70.12058215790202,83.10901966859673,138.252308641498,42.721978976250085,60.951028996664924,1.5134540006844848,20.504490403458828,98.37914038896675,63.88256659081182,99.95250275180672,35.18329984340857,43.42305267193906,86.76597475756999,27.366006467517238,137.76070563727205,111.51868300135047,25.118727829700862,74.30829326655153,96.43334389508053,29.851964978535918,4.410912008186653,131.23247156605166,43.573859802648215,48.854919485516724,82.05022796018936,68.0278921852269,60.88492340443846,83.93198550714453,48.83367195095113,40.11673879328361,20.09112525717272,13.107909356537471,47.42008672022985,2.9969773470559704,100.9368585671659,58.12824606022286,70.64869062542742,65.22436994994877,48.35662200237534,81.85652195960503,11.904971768046279,120.8144795547038,37.30471702904145,15.344723396016063,73.10393851486461,13.452428879230018,2.0540584480146213,0.0,2.3944565269636704,0.899424122403481,1.5402105535075272,2.418685529006961,7.573022873053418,4.181124555260383,6.274994974943541,1.5630803455423896,2.3949852453435665,0.0,0.15987906747336314,5.907370602626321,3.469456780467608,3.39589477072956,1.1523450122928243,1.2630416646108933,3.779782148107353,1.115895409355072,4.820443216124099,9.782886047140122,2.0526978607984474,4.040283884784377,4.608064217982942,1.4896887006832735,0.13366400024808037,1.5139367850895096,1.3218254437205685,3.939912861735219,8.757492722595925,2.691138448989948,3.18707716289064,1.7162333940117185,2.062074439387571,2.4931651831926445,0.6678990426912764,0.2709645345020666,4.569602426622925,0.33548253884954893,11.057878961266002,1.5399129624545913,1.211120410721613,0.8576649031263307,0.7981429204671223,0.5347187063229506,0.11447088238506034,2.518886080623803,0.9192512619678307,0.47827709286283826,1.6806913201101614,0.6170838935426614
2020-06-08,90.24746159894028,15.231950382898033,109.09497217317674,87.83586626945572,66.45502365902607,48.547359797606376,64.49090113322472,73.8665338096001,117.80797017474646,42.884938416530034,61.576685254577725,1.6143509340634503,20.504490403458828,96.51335826161055,62.683641159029435,99.83930625944907,35.10974590645372,46.44475994550183,80.52779771638468,27.312868590881287,132.94026242114793,107.31121294294063,24.832637535512923,74.87823926910733,103.44144155992956,29.87524136448409,4.611408008558774,129.23850604422645,44.22317756447587,46.963761311883815,77.20907954971852,69.35642888789282,58.876477312156005,85.26683370248698,46.86532816789935,38.86404550270887,20.127227908129004,14.919984681020043,46.73938892285745,2.974611844466001,99.25120628648509,64.12142083301912,71.45610423257517,66.28076208672633,48.393573063508086,84.68607511389732,12.591797062356639,113.17413738988806,37.41727840805793,15.105584849584647,71.926227808802,14.439763108898276,2.272575304186389,0.0,2.365016487697724,0.899424122403481,1.5510571067012424,2.604738262007496,6.851782599429281,3.9610653681414156,5.161689414872912,1.5531032369538214,2.5429899515164838,0.0,0.15987906747336314,6.865627284350055,3.607386254920448,3.4638126661441517,1.176862991277778,1.2950174029554726,3.90270189276125,1.115895409355072,4.690480286277616,9.71034345992616,1.8881959416403837,4.027618418060915,4.848067562669554,1.559517858527802,0.13366400024808037,1.4031609227658872,1.368205283851115,4.044977204714826,8.9504953170333,2.725203492648048,2.97778753353031,1.7162333940117185,1.9683437830517727,2.5481614739983645,0.6317963917349912,0.2709645345020666,4.5417049759109425,0.2907515336696091,12.878383424401258,1.6231515009656503,1.211120410721613,0.8681242312132373,0.7464114348812902,0.57927859851653,0.11447088238506034,2.2510975272020035,0.9192512619678307,0.47827709286283826,1.6193522208360678,0.6170838935426614
2020-06-09,87.78550501940504,16.110716751142153,112.98105735628174,92.3093178256204,66.44598486469799,46.91009574720167,57.61908408175034,69.97882150383167,115.3789398618651,45.063273791700816,64.03894536636352,1.6647994007529334,22.502978746875865,94.36573593374735,63.182309258974314,102.62393997144731,35.10974590645372,50.15394559347307,85.39849259829539,26.409524688070036,132.52674400800004,105.6634598905092,22.114779740727524,70.39466404900178,96.88935024998507,30.51534197805893,5.012400009303014,125.43520143778207,47.145107492700284,46.333375254006185,74.29795708362144,67.2784612247487,57.44816738546885,88.67205869060545,44.89698438484758,37.617462911112554,22.130925036202836,16.478030754406923,46.97372750883811,3.2429978755456403,93.45256244094317,66.75730788586931,70.24498382185357,69.13615865445179,50.975220534648656,87.76070767525427,12.93520970951182,103.73459088176963,37.492319327402235,12.554773687649506,71.97529908822128,14.810013445023872,2.2434397233634873,0.0976407075826797,2.5809101089813336,0.9941003458143737,1.5962510783417214,2.493106622207175,6.571300270797674,3.52094699390348,5.56652780035314,1.7060855686452046,2.7851794707085302,0.0,0.15987906747336314,7.1756515049077345,3.554336457053971,3.305337576843439,1.176862991277778,1.3749567488169219,3.933431828924724,1.115895409355072,4.655035850864938,9.689617006436455,1.773759823965209,4.05294935150784,4.4400618767023134,1.7922817180095636,0.06683200012404018,1.4031609227658872,1.3913952039163877,3.9924450332250228,9.280208082530484,2.691138448989948,2.8786503406754167,1.791148343750325,1.9683437830517727,2.5603828719551913,0.6317963917349912,0.2709645345020666,4.809520502745984,0.2907515336696091,11.73213987353832,1.6925169497248658,1.4533444928659358,0.9622581839953954,0.7808990919385116,0.57927859851653,0.11447088238506034,2.1757819965521223,0.853590457541557,0.3985642440523653,1.7665660590938923,0.493667114834129
