,count,count,count,tested,tested,tested,percentage,percentage,percentage,Unknown tested,Unknown tested,Unknown tested,Unknown count,Unknown count,Unknown count,Unknown percentage,Unknown percentage,Unknown percentage,<20 tested,<20 tested,<20 tested,<20 count,<20 count,<20 count,<20 percentage,<20 percentage,<20 percentage,20-39 tested,20-39 tested,20-39 tested,20-39 count,20-39 count,20-39 count,20-39 percentage,20-39 percentage,20-39 percentage,30-39 tested,30-39 tested,30-39 tested,30-39 count,30-39 count,30-39 count,30-39 percentage,30-39 percentage,30-39 percentage,40-49 tested,40-49 tested,40-49 tested,40-49 count,40-49 count,40-49 count,40-49 percentage,40-49 percentage,40-49 percentage,50-59 tested,50-59 tested,50-59 tested,50-59 count,50-59 count,50-59 count,50-59 percentage,50-59 percentage,50-59 percentage,60-69 tested,60-69 tested,60-69 tested,60-69 count,60-69 count,60-69 count,60-69 percentage,60-69 percentage,60-69 percentage,70-79 tested,70-79 tested,70-79 tested,70-79 count,70-79 count,70-79 count,70-79 percentage,70-79 percentage,70-79 percentage,80+ tested,80+ tested,80+ tested,80+ count,80+ count,80+ count,80+ percentage,80+ percentage,80+ percentage
05-21,0.2857142857142857,2.7857142857142856,0.7857142857142857,3.642857142857143,32.285714285714285,12.714285714285714,0.0784313725490196,0.08628318584070796,0.06179775280898877,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.7142857142857143,2.2142857142857144,1.2857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,3.5,1.8571428571428572,0.0,0.7142857142857143,0.21428571428571427,0.0,0.20408163265306123,0.11538461538461538,0.42857142857142855,4.785714285714286,1.5,0.07142857142857142,0.7857142857142857,0.07142857142857142,0.16666666666666666,0.16417910447761194,0.047619047619047616,0.6428571428571429,4.714285714285714,2.0,0.0,0.5,0.14285714285714285,0.0,0.10606060606060606,0.07142857142857142,0.5,4.714285714285714,2.5714285714285716,0.42857142857142855,0.5,0.21428571428571427,0.8571428571428571,0.10606060606060606,0.08333333333333333,0.2857142857142857,3.5714285714285716,2.142857142857143,0.0,-0.07142857142857142,0.14285714285714285,0.0,-0.019999999999999997,0.06666666666666667,0.2857142857142857,4.0,0.7857142857142857,0.0,0.07142857142857142,0.0,0.0,0.017857142857142856,0.0,0.5,4.785714285714286,0.5714285714285714,0.0,0.21428571428571427,0.0,0.0,0.04477611940298507,0.0
05-22,0.35714285714285715,3.4285714285714284,1.2857142857142858,4.857142857142857,57.0,20.5,0.07352941176470588,0.06015037593984962,0.0627177700348432,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.7857142857142857,3.357142857142857,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.7857142857142857,5.642857142857143,2.9285714285714284,0.0,0.7142857142857143,0.14285714285714285,0.0,0.12658227848101264,0.04878048780487805,0.7142857142857143,6.214285714285714,2.9285714285714284,0.07142857142857142,0.7857142857142857,0.21428571428571427,0.09999999999999999,0.1264367816091954,0.07317073170731707,0.9285714285714286,6.928571428571429,2.642857142857143,0.0,0.7142857142857143,0.14285714285714285,0.0,0.10309278350515463,0.05405405405405405,0.7142857142857143,7.428571428571429,5.071428571428571,0.42857142857142855,0.6428571428571429,0.5,0.6,0.08653846153846154,0.09859154929577466,0.35714285714285715,6.071428571428571,2.9285714285714284,0.0,0.0,0.21428571428571427,0.0,0.0,0.07317073170731707,0.35714285714285715,7.571428571428571,1.4285714285714286,0.0,0.07142857142857142,0.0,0.0,0.009433962264150943,0.0,0.5,13.785714285714286,0.8571428571428571,0.0,0.35714285714285715,0.0,0.0,0.025906735751295335,0.0
05-23,0.35714285714285715,3.4285714285714284,1.2857142857142858,4.857142857142857,57.0,20.5,0.07352941176470588,0.06015037593984962,0.0627177700348432,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.7857142857142857,3.357142857142857,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.7857142857142857,5.642857142857143,2.9285714285714284,0.0,0.7142857142857143,0.14285714285714285,0.0,0.12658227848101264,0.04878048780487805,0.7142857142857143,6.214285714285714,2.9285714285714284,0.07142857142857142,0.7857142857142857,0.21428571428571427,0.09999999999999999,0.1264367816091954,0.07317073170731707,0.9285714285714286,6.928571428571429,2.642857142857143,0.0,0.7142857142857143,0.14285714285714285,0.0,0.10309278350515463,0.05405405405405405,0.7142857142857143,7.428571428571429,5.071428571428571,0.42857142857142855,0.6428571428571429,0.5,0.6,0.08653846153846154,0.09859154929577466,0.35714285714285715,6.071428571428571,2.9285714285714284,0.0,0.0,0.21428571428571427,0.0,0.0,0.07317073170731707,0.35714285714285715,7.571428571428571,1.4285714285714286,0.0,0.07142857142857142,0.0,0.0,0.009433962264150943,0.0,0.5,13.785714285714286,0.8571428571428571,0.0,0.35714285714285715,0.0,0.0,0.025906735751295335,0.0
05-24,0.35714285714285715,3.4285714285714284,1.2857142857142858,4.857142857142857,57.0,20.5,0.07352941176470588,0.06015037593984962,0.0627177700348432,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.7857142857142857,3.357142857142857,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.7857142857142857,5.642857142857143,2.9285714285714284,0.0,0.7142857142857143,0.14285714285714285,0.0,0.12658227848101264,0.04878048780487805,0.7142857142857143,6.214285714285714,2.9285714285714284,0.07142857142857142,0.7857142857142857,0.21428571428571427,0.09999999999999999,0.1264367816091954,0.07317073170731707,0.9285714285714286,6.928571428571429,2.642857142857143,0.0,0.7142857142857143,0.14285714285714285,0.0,0.10309278350515463,0.05405405405405405,0.7142857142857143,7.428571428571429,5.071428571428571,0.42857142857142855,0.6428571428571429,0.5,0.6,0.08653846153846154,0.09859154929577466,0.35714285714285715,6.071428571428571,2.9285714285714284,0.0,0.0,0.21428571428571427,0.0,0.0,0.07317073170731707,0.35714285714285715,7.571428571428571,1.4285714285714286,0.0,0.07142857142857142,0.0,0.0,0.009433962264150943,0.0,0.5,13.785714285714286,0.8571428571428571,0.0,0.35714285714285715,0.0,0.0,0.025906735751295335,0.0
05-25,0.35714285714285715,3.642857142857143,0.8571428571428571,5.5,59.357142857142854,20.785714285714285,0.06493506493506494,0.06137184115523466,0.041237113402061855,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.9285714285714286,3.357142857142857,1.5714285714285714,0.0,0.42857142857142855,0.0,0.0,0.1276595744680851,0.0,1.0,6.285714285714286,2.857142857142857,0.0,0.6428571428571429,0.14285714285714285,0.0,0.10227272727272728,0.049999999999999996,0.9285714285714286,6.857142857142857,3.4285714285714284,0.07142857142857142,0.7142857142857143,0.14285714285714285,0.07692307692307691,0.10416666666666667,0.041666666666666664,0.8571428571428571,7.285714285714286,2.357142857142857,0.0,0.7142857142857143,0.14285714285714285,0.0,0.09803921568627451,0.0606060606060606,0.7857142857142857,7.642857142857143,5.071428571428571,0.42857142857142855,0.7857142857142857,0.2857142857142857,0.5454545454545454,0.102803738317757,0.056338028169014086,0.5,5.857142857142857,3.2142857142857144,0.0,0.14285714285714285,0.07142857142857142,0.0,0.024390243902439025,0.02222222222222222,0.35714285714285715,8.0,1.3571428571428572,0.0,0.14285714285714285,0.0,0.0,0.017857142857142856,0.0,0.21428571428571427,14.071428571428571,0.9285714285714286,0.0,0.2857142857142857,0.0,0.0,0.02030456852791878,0.0
05-26,0.35714285714285715,3.642857142857143,0.8571428571428571,5.5,59.357142857142854,20.785714285714285,0.06493506493506494,0.06137184115523466,0.041237113402061855,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.9285714285714286,3.357142857142857,1.5714285714285714,0.0,0.42857142857142855,0.0,0.0,0.1276595744680851,0.0,1.0,6.285714285714286,2.857142857142857,0.0,0.6428571428571429,0.14285714285714285,0.0,0.10227272727272728,0.049999999999999996,0.9285714285714286,6.857142857142857,3.4285714285714284,0.07142857142857142,0.7142857142857143,0.14285714285714285,0.07692307692307691,0.10416666666666667,0.041666666666666664,0.8571428571428571,7.285714285714286,2.357142857142857,0.0,0.7142857142857143,0.14285714285714285,0.0,0.09803921568627451,0.0606060606060606,0.7857142857142857,7.642857142857143,5.071428571428571,0.42857142857142855,0.7857142857142857,0.2857142857142857,0.5454545454545454,0.102803738317757,0.056338028169014086,0.5,5.857142857142857,3.2142857142857144,0.0,0.14285714285714285,0.07142857142857142,0.0,0.024390243902439025,0.02222222222222222,0.35714285714285715,8.0,1.3571428571428572,0.0,0.14285714285714285,0.0,0.0,0.017857142857142856,0.0,0.21428571428571427,14.071428571428571,0.9285714285714286,0.0,0.2857142857142857,0.0,0.0,0.02030456852791878,0.0
05-27,0.35714285714285715,3.642857142857143,0.8571428571428571,5.5,59.357142857142854,20.785714285714285,0.06493506493506494,0.06137184115523466,0.041237113402061855,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.9285714285714286,3.357142857142857,1.5714285714285714,0.0,0.42857142857142855,0.0,0.0,0.1276595744680851,0.0,1.0,6.285714285714286,2.857142857142857,0.0,0.6428571428571429,0.14285714285714285,0.0,0.10227272727272728,0.049999999999999996,0.9285714285714286,6.857142857142857,3.4285714285714284,0.07142857142857142,0.7142857142857143,0.14285714285714285,0.07692307692307691,0.10416666666666667,0.041666666666666664,0.8571428571428571,7.285714285714286,2.357142857142857,0.0,0.7142857142857143,0.14285714285714285,0.0,0.09803921568627451,0.0606060606060606,0.7857142857142857,7.642857142857143,5.071428571428571,0.42857142857142855,0.7857142857142857,0.2857142857142857,0.5454545454545454,0.102803738317757,0.056338028169014086,0.5,5.857142857142857,3.2142857142857144,0.0,0.14285714285714285,0.07142857142857142,0.0,0.024390243902439025,0.02222222222222222,0.35714285714285715,8.0,1.3571428571428572,0.0,0.14285714285714285,0.0,0.0,0.017857142857142856,0.0,0.21428571428571427,14.071428571428571,0.9285714285714286,0.0,0.2857142857142857,0.0,0.0,0.02030456852791878,0.0
05-28,0.35714285714285715,3.642857142857143,0.8571428571428571,5.5,59.357142857142854,20.785714285714285,0.06493506493506494,0.06137184115523466,0.041237113402061855,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.9285714285714286,3.357142857142857,1.5714285714285714,0.0,0.42857142857142855,0.0,0.0,0.1276595744680851,0.0,1.0,6.285714285714286,2.857142857142857,0.0,0.6428571428571429,0.14285714285714285,0.0,0.10227272727272728,0.049999999999999996,0.9285714285714286,6.857142857142857,3.4285714285714284,0.07142857142857142,0.7142857142857143,0.14285714285714285,0.07692307692307691,0.10416666666666667,0.041666666666666664,0.8571428571428571,7.285714285714286,2.357142857142857,0.0,0.7142857142857143,0.14285714285714285,0.0,0.09803921568627451,0.0606060606060606,0.7857142857142857,7.642857142857143,5.071428571428571,0.42857142857142855,0.7857142857142857,0.2857142857142857,0.5454545454545454,0.102803738317757,0.056338028169014086,0.5,5.857142857142857,3.2142857142857144,0.0,0.14285714285714285,0.07142857142857142,0.0,0.024390243902439025,0.02222222222222222,0.35714285714285715,8.0,1.3571428571428572,0.0,0.14285714285714285,0.0,0.0,0.017857142857142856,0.0,0.21428571428571427,14.071428571428571,0.9285714285714286,0.0,0.2857142857142857,0.0,0.0,0.02030456852791878,0.0
05-29,0.35714285714285715,4.071428571428571,0.9285714285714286,6.714285714285714,70.85714285714286,24.5,0.05319148936170213,0.05745967741935483,0.037900874635568516,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0714285714285714,3.7857142857142856,2.2857142857142856,0.0,0.42857142857142855,0.0,0.0,0.11320754716981132,0.0,1.1428571428571428,7.857142857142857,3.142857142857143,0.0,0.8571428571428571,0.14285714285714285,0.0,0.10909090909090909,0.045454545454545456,1.3571428571428572,8.142857142857142,3.642857142857143,0.07142857142857142,0.7142857142857143,0.14285714285714285,0.05263157894736842,0.08771929824561404,0.0392156862745098,0.8571428571428571,8.714285714285714,3.0714285714285716,0.0,0.7142857142857143,0.14285714285714285,0.0,0.0819672131147541,0.04651162790697674,0.9285714285714286,9.357142857142858,5.785714285714286,0.42857142857142855,0.8571428571428571,0.2857142857142857,0.4615384615384615,0.09160305343511449,0.04938271604938271,0.5714285714285714,8.142857142857142,3.7857142857142856,0.0,0.2857142857142857,0.14285714285714285,0.0,0.03508771929824561,0.03773584905660377,0.5714285714285714,10.0,1.7857142857142858,0.0,0.14285714285714285,0.0,0.0,0.014285714285714285,0.0,0.2857142857142857,14.857142857142858,1.0,0.0,0.2857142857142857,0.0,0.0,0.01923076923076923,0.0
05-30,0.21428571428571427,2.2142857142857144,0.5714285714285714,4.0,49.92857142857143,17.285714285714285,0.05357142857142857,0.044349070100143065,0.03305785123966942,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.35714285714285715,2.642857142857143,1.5,0.0,0.42857142857142855,0.0,0.0,0.16216216216216214,0.0,0.7857142857142857,5.571428571428571,2.0,0.0,0.6428571428571429,0.0,0.0,0.1153846153846154,0.0,1.0,4.857142857142857,2.642857142857143,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.014705882352941176,0.027027027027027025,0.5,6.071428571428571,2.0714285714285716,0.0,0.35714285714285715,0.07142857142857142,0.0,0.05882352941176471,0.03448275862068965,0.5714285714285714,6.928571428571429,4.571428571428571,0.0,0.5714285714285714,0.2857142857142857,0.0,0.08247422680412371,0.0625,0.2857142857142857,5.785714285714286,2.7142857142857144,0.0,0.2857142857142857,0.07142857142857142,0.0,0.04938271604938271,0.02631578947368421,0.2857142857142857,7.428571428571429,1.2857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,10.642857142857142,0.5,0.0,0.14285714285714285,0.0,0.0,0.013422818791946308,0.0
05-31,0.2857142857142857,2.2857142857142856,0.7142857142857143,4.357142857142857,55.714285714285715,19.642857142857142,0.06557377049180328,0.041025641025641026,0.03636363636363637,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.35714285714285715,2.9285714285714284,1.5714285714285714,0.0,0.42857142857142855,0.0,0.0,0.14634146341463414,0.0,0.7857142857142857,5.928571428571429,2.4285714285714284,0.0,0.6428571428571429,0.14285714285714285,0.0,0.10843373493975904,0.058823529411764705,1.0714285714285714,5.642857142857143,2.857142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.06666666666666667,0.012658227848101264,0.024999999999999998,0.5,6.785714285714286,2.2142857142857144,0.0,0.35714285714285715,0.07142857142857142,0.0,0.052631578947368425,0.03225806451612903,0.7142857142857143,8.071428571428571,5.285714285714286,0.07142857142857142,0.5714285714285714,0.2857142857142857,0.09999999999999999,0.07079646017699115,0.05405405405405405,0.35714285714285715,6.857142857142857,3.0714285714285716,0.0,0.2857142857142857,0.07142857142857142,0.0,0.041666666666666664,0.02325581395348837,0.35714285714285715,8.357142857142858,1.4285714285714286,0.0,0.07142857142857142,0.0,0.0,0.008547008547008546,0.0,0.21428571428571427,11.142857142857142,0.7857142857142857,0.0,0.14285714285714285,0.0,0.0,0.01282051282051282,0.0
06-01,0.21428571428571427,1.8571428571428572,0.7142857142857143,4.0,54.714285714285715,19.428571428571427,0.05357142857142857,0.033942558746736295,0.03676470588235294,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.35714285714285715,2.9285714285714284,1.6428571428571428,0.0,0.42857142857142855,0.0,0.0,0.14634146341463414,0.0,0.6428571428571429,5.428571428571429,2.2142857142857144,0.0,0.35714285714285715,0.07142857142857142,0.0,0.06578947368421052,0.03225806451612903,1.0,5.428571428571429,2.857142857142857,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.0,0.049999999999999996,0.35714285714285715,6.642857142857143,2.4285714285714284,0.0,0.35714285714285715,0.07142857142857142,0.0,0.053763440860215055,0.029411764705882353,0.6428571428571429,7.785714285714286,5.071428571428571,0.07142857142857142,0.35714285714285715,0.2857142857142857,0.11111111111111109,0.045871559633027525,0.056338028169014086,0.35714285714285715,7.428571428571429,3.142857142857143,0.0,0.2857142857142857,0.07142857142857142,0.0,0.03846153846153846,0.022727272727272728,0.42857142857142855,8.0,1.3571428571428572,0.0,0.14285714285714285,0.0,0.0,0.017857142857142856,0.0,0.21428571428571427,11.071428571428571,0.7142857142857143,0.0,0.21428571428571427,0.0,0.0,0.01935483870967742,0.0
06-02,0.21428571428571427,1.8571428571428572,0.7142857142857143,4.0,54.714285714285715,19.428571428571427,0.05357142857142857,0.033942558746736295,0.03676470588235294,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.35714285714285715,2.9285714285714284,1.6428571428571428,0.0,0.42857142857142855,0.0,0.0,0.14634146341463414,0.0,0.6428571428571429,5.428571428571429,2.2142857142857144,0.0,0.35714285714285715,0.07142857142857142,0.0,0.06578947368421052,0.03225806451612903,1.0,5.428571428571429,2.857142857142857,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.0,0.049999999999999996,0.35714285714285715,6.642857142857143,2.4285714285714284,0.0,0.35714285714285715,0.07142857142857142,0.0,0.053763440860215055,0.029411764705882353,0.6428571428571429,7.785714285714286,5.071428571428571,0.07142857142857142,0.35714285714285715,0.2857142857142857,0.11111111111111109,0.045871559633027525,0.056338028169014086,0.35714285714285715,7.428571428571429,3.142857142857143,0.0,0.2857142857142857,0.07142857142857142,0.0,0.03846153846153846,0.022727272727272728,0.42857142857142855,8.0,1.3571428571428572,0.0,0.14285714285714285,0.0,0.0,0.017857142857142856,0.0,0.21428571428571427,11.071428571428571,0.7142857142857143,0.0,0.21428571428571427,0.0,0.0,0.01935483870967742,0.0
06-03,0.35714285714285715,1.9285714285714286,0.7857142857142857,4.785714285714286,61.357142857142854,22.0,0.0746268656716418,0.03143189755529686,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.35714285714285715,3.0714285714285716,1.9285714285714286,0.0,0.42857142857142855,0.0,0.0,0.1395348837209302,0.0,0.8571428571428571,5.928571428571429,2.357142857142857,0.0,0.35714285714285715,0.14285714285714285,0.0,0.060240963855421686,0.0606060606060606,1.2142857142857142,6.285714285714286,3.142857142857143,0.07142857142857142,0.0,0.14285714285714285,0.058823529411764705,0.0,0.045454545454545456,0.42857142857142855,7.857142857142857,3.0714285714285716,0.0,0.35714285714285715,0.07142857142857142,0.0,0.045454545454545456,0.02325581395348837,0.6428571428571429,8.928571428571429,5.285714285714286,0.07142857142857142,0.35714285714285715,0.2857142857142857,0.11111111111111109,0.04,0.05405405405405405,0.5714285714285714,8.714285714285714,3.642857142857143,0.0,0.2857142857142857,0.07142857142857142,0.0,0.03278688524590164,0.0196078431372549,0.5,8.928571428571429,1.7142857142857142,0.0,0.14285714285714285,0.0,0.0,0.016,0.0,0.21428571428571427,11.642857142857142,0.8571428571428571,0.0,0.2857142857142857,0.0,0.0,0.024539877300613498,0.0
06-04,0.35714285714285715,1.9285714285714286,0.7857142857142857,4.785714285714286,61.357142857142854,22.0,0.0746268656716418,0.03143189755529686,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.35714285714285715,3.0714285714285716,1.9285714285714286,0.0,0.42857142857142855,0.0,0.0,0.1395348837209302,0.0,0.8571428571428571,5.928571428571429,2.357142857142857,0.0,0.35714285714285715,0.14285714285714285,0.0,0.060240963855421686,0.0606060606060606,1.2142857142857142,6.285714285714286,3.142857142857143,0.07142857142857142,0.0,0.14285714285714285,0.058823529411764705,0.0,0.045454545454545456,0.42857142857142855,7.857142857142857,3.0714285714285716,0.0,0.35714285714285715,0.07142857142857142,0.0,0.045454545454545456,0.02325581395348837,0.6428571428571429,8.928571428571429,5.285714285714286,0.07142857142857142,0.35714285714285715,0.2857142857142857,0.11111111111111109,0.04,0.05405405405405405,0.5714285714285714,8.714285714285714,3.642857142857143,0.0,0.2857142857142857,0.07142857142857142,0.0,0.03278688524590164,0.0196078431372549,0.5,8.928571428571429,1.7142857142857142,0.0,0.14285714285714285,0.0,0.0,0.016,0.0,0.21428571428571427,11.642857142857142,0.8571428571428571,0.0,0.2857142857142857,0.0,0.0,0.024539877300613498,0.0
06-05,0.2857142857142857,1.2857142857142858,0.2857142857142857,3.5714285714285716,36.642857142857146,14.214285714285714,0.07999999999999999,0.03508771929824561,0.020100502512562814,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.2857142857142857,1.9285714285714286,1.5,0.0,0.42857142857142855,0.0,0.0,0.2222222222222222,0.0,0.6428571428571429,3.7857142857142856,1.2857142857142858,0.0,0.35714285714285715,0.21428571428571427,0.0,0.09433962264150944,0.16666666666666666,0.9285714285714286,4.857142857142857,1.7142857142857142,0.07142857142857142,0.0,0.0,0.07692307692307691,0.0,0.0,0.14285714285714285,5.642857142857143,2.4285714285714284,0.0,0.14285714285714285,0.07142857142857142,0.0,0.025316455696202528,0.029411764705882353,0.42857142857142855,6.214285714285714,2.7857142857142856,0.07142857142857142,0.21428571428571427,0.0,0.16666666666666666,0.034482758620689655,0.0,0.5,6.214285714285714,2.857142857142857,0.0,0.21428571428571427,0.0,0.0,0.034482758620689655,0.0,0.42857142857142855,5.357142857142857,1.0714285714285714,0.0,0.14285714285714285,0.0,0.0,0.02666666666666667,0.0,0.21428571428571427,2.642857142857143,0.5714285714285714,0.0,0.14285714285714285,0.0,0.0,0.05405405405405405,0.0
06-06,0.2857142857142857,1.2857142857142858,0.2857142857142857,3.5714285714285716,36.642857142857146,14.214285714285714,0.07999999999999999,0.03508771929824561,0.020100502512562814,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.2857142857142857,1.9285714285714286,1.5,0.0,0.42857142857142855,0.0,0.0,0.2222222222222222,0.0,0.6428571428571429,3.7857142857142856,1.2857142857142858,0.0,0.35714285714285715,0.21428571428571427,0.0,0.09433962264150944,0.16666666666666666,0.9285714285714286,4.857142857142857,1.7142857142857142,0.07142857142857142,0.0,0.0,0.07692307692307691,0.0,0.0,0.14285714285714285,5.642857142857143,2.4285714285714284,0.0,0.14285714285714285,0.07142857142857142,0.0,0.025316455696202528,0.029411764705882353,0.42857142857142855,6.214285714285714,2.7857142857142856,0.07142857142857142,0.21428571428571427,0.0,0.16666666666666666,0.034482758620689655,0.0,0.5,6.214285714285714,2.857142857142857,0.0,0.21428571428571427,0.0,0.0,0.034482758620689655,0.0,0.42857142857142855,5.357142857142857,1.0714285714285714,0.0,0.14285714285714285,0.0,0.0,0.02666666666666667,0.0,0.21428571428571427,2.642857142857143,0.5714285714285714,0.0,0.14285714285714285,0.0,0.0,0.05405405405405405,0.0
06-07,0.2857142857142857,1.2857142857142858,0.2857142857142857,3.5714285714285716,36.642857142857146,14.214285714285714,0.07999999999999999,0.03508771929824561,0.020100502512562814,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.2857142857142857,1.9285714285714286,1.5,0.0,0.42857142857142855,0.0,0.0,0.2222222222222222,0.0,0.6428571428571429,3.7857142857142856,1.2857142857142858,0.0,0.35714285714285715,0.21428571428571427,0.0,0.09433962264150944,0.16666666666666666,0.9285714285714286,4.857142857142857,1.7142857142857142,0.07142857142857142,0.0,0.0,0.07692307692307691,0.0,0.0,0.14285714285714285,5.642857142857143,2.4285714285714284,0.0,0.14285714285714285,0.07142857142857142,0.0,0.025316455696202528,0.029411764705882353,0.42857142857142855,6.214285714285714,2.7857142857142856,0.07142857142857142,0.21428571428571427,0.0,0.16666666666666666,0.034482758620689655,0.0,0.5,6.214285714285714,2.857142857142857,0.0,0.21428571428571427,0.0,0.0,0.034482758620689655,0.0,0.42857142857142855,5.357142857142857,1.0714285714285714,0.0,0.14285714285714285,0.0,0.0,0.02666666666666667,0.0,0.21428571428571427,2.642857142857143,0.5714285714285714,0.0,0.14285714285714285,0.0,0.0,0.05405405405405405,0.0
06-08,0.21428571428571427,1.0714285714285714,0.2857142857142857,3.5,45.785714285714285,17.642857142857142,0.061224489795918366,0.0234009360374415,0.016194331983805668,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.14285714285714285,2.5,1.8571428571428572,0.0,0.07142857142857142,0.0,0.0,0.02857142857142857,0.0,0.5714285714285714,4.928571428571429,1.7142857142857142,0.0,0.21428571428571427,0.21428571428571427,0.0,0.043478260869565216,0.125,0.7857142857142857,6.142857142857143,2.2857142857142856,0.0,0.14285714285714285,0.0,0.0,0.02325581395348837,0.0,0.21428571428571427,6.5,2.9285714285714284,0.0,0.07142857142857142,0.0,0.0,0.010989010989010988,0.0,0.42857142857142855,8.071428571428571,3.0714285714285716,0.07142857142857142,0.2857142857142857,0.0,0.16666666666666666,0.035398230088495575,0.0,0.42857142857142855,8.071428571428571,3.2857142857142856,0.0,0.14285714285714285,0.07142857142857142,0.0,0.017699115044247787,0.021739130434782608,0.7857142857142857,6.5,1.7857142857142858,0.0,0.07142857142857142,0.0,0.0,0.010989010989010988,0.0,0.14285714285714285,3.0714285714285716,0.7142857142857143,0.0,0.07142857142857142,0.0,0.0,0.02325581395348837,0.0
06-09,0.21428571428571427,1.0714285714285714,0.2857142857142857,3.5,45.785714285714285,17.642857142857142,0.061224489795918366,0.0234009360374415,0.016194331983805668,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.14285714285714285,2.5,1.8571428571428572,0.0,0.07142857142857142,0.0,0.0,0.02857142857142857,0.0,0.5714285714285714,4.928571428571429,1.7142857142857142,0.0,0.21428571428571427,0.21428571428571427,0.0,0.043478260869565216,0.125,0.7857142857142857,6.142857142857143,2.2857142857142856,0.0,0.14285714285714285,0.0,0.0,0.02325581395348837,0.0,0.21428571428571427,6.5,2.9285714285714284,0.0,0.07142857142857142,0.0,0.0,0.010989010989010988,0.0,0.42857142857142855,8.071428571428571,3.0714285714285716,0.07142857142857142,0.2857142857142857,0.0,0.16666666666666666,0.035398230088495575,0.0,0.42857142857142855,8.071428571428571,3.2857142857142856,0.0,0.14285714285714285,0.07142857142857142,0.0,0.017699115044247787,0.021739130434782608,0.7857142857142857,6.5,1.7857142857142858,0.0,0.07142857142857142,0.0,0.0,0.010989010989010988,0.0,0.14285714285714285,3.0714285714285716,0.7142857142857143,0.0,0.07142857142857142,0.0,0.0,0.02325581395348837,0.0
06-10,0.21428571428571427,1.2142857142857142,0.42857142857142855,4.285714285714286,52.214285714285715,20.642857142857142,0.049999999999999996,0.02325581395348837,0.020761245674740483,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.21428571428571427,2.7857142857142856,1.9285714285714286,0.0,0.07142857142857142,0.0,0.0,0.02564102564102564,0.0,0.7857142857142857,5.857142857142857,1.9285714285714286,0.0,0.21428571428571427,0.21428571428571427,0.0,0.036585365853658534,0.1111111111111111,0.9285714285714286,7.0,2.7857142857142856,0.0,0.07142857142857142,0.07142857142857142,0.0,0.01020408163265306,0.02564102564102564,0.2857142857142857,7.142857142857143,3.5,0.0,0.07142857142857142,0.07142857142857142,0.0,0.009999999999999998,0.02040816326530612,0.5,9.642857142857142,3.642857142857143,0.07142857142857142,0.2857142857142857,0.0,0.14285714285714285,0.02962962962962963,0.0,0.42857142857142855,8.857142857142858,3.9285714285714284,0.0,0.2857142857142857,0.07142857142857142,0.0,0.03225806451612903,0.01818181818181818,0.8571428571428571,7.5,2.2142857142857144,0.0,0.07142857142857142,0.0,0.0,0.009523809523809523,0.0,0.2857142857142857,3.4285714285714284,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.041666666666666664,0.0
